"CountryCode","Country","Year","Sex","LifeExpectancyAt60","LifeExpectancy","Region"
"BLR","Belarus",2000,"FMLE",19.44722,74.60679,"Europe"
"BLR","Belarus",2010,"FMLE",20.51221,76.40522,"Europe"
"BLR","Belarus",2015,"FMLE",21.87248,78.79088,"Europe"
"BLR","Belarus",2019,"FMLE",22.48084,79.62104,"Europe"
"BLR","Belarus",2000,"BTSX",17.15109,68.84592,"Europe"
"BLR","Belarus",2010,"BTSX",17.72123,70.38769,"Europe"
"BLR","Belarus",2015,"BTSX",19.22635,73.81525,"Europe"
"BLR","Belarus",2019,"BTSX",19.71866,74.80977,"Europe"
"BLZ","Belize",2000,"MLE",17.02209,67.17996,"Americas"
"BLZ","Belize",2010,"MLE",20.55608,70.89174,"Americas"
"BLZ","Belize",2015,"MLE",20.39749,71.13895,"Americas"
"BLZ","Belize",2019,"MLE",20.31975,71.36353,"Americas"
"BLZ","Belize",2000,"FMLE",20.72923,74.01778,"Americas"
"BLZ","Belize",2010,"FMLE",22.15227,76.11723,"Americas"
"BLZ","Belize",2015,"FMLE",22.75498,77.29343,"Americas"
"BLZ","Belize",2019,"FMLE",22.92542,77.76621,"Americas"
"BLZ","Belize",2000,"BTSX",18.73611,70.34421,"Americas"
"BLZ","Belize",2010,"BTSX",21.29657,73.38513,"Americas"
"BLZ","Belize",2015,"BTSX",21.47434,74.04993,"Americas"
"BLZ","Belize",2019,"BTSX",21.53238,74.40823,"Americas"
"BOL","Bolivia (Plurinational State of)",2000,"MLE",17.19475,64.81239,"Americas"
"BOL","Bolivia (Plurinational State of)",2010,"MLE",18.15619,69.43961,"Americas"
"BOL","Bolivia (Plurinational State of)",2015,"MLE",18.07467,70.59274,"Americas"
"BOL","Bolivia (Plurinational State of)",2019,"MLE",18.04044,71.14804,"Americas"
"BOL","Bolivia (Plurinational State of)",2000,"FMLE",18.36396,67.24576,"Americas"
"BOL","Bolivia (Plurinational State of)",2010,"FMLE",18.87307,71.24718,"Americas"
"BOL","Bolivia (Plurinational State of)",2015,"FMLE",18.90967,72.45124,"Americas"
"BOL","Bolivia (Plurinational State of)",2019,"FMLE",19.05573,73.13363,"Americas"
"BOL","Bolivia (Plurinational State of)",2000,"BTSX",17.79955,66.01998,"Americas"
"BOL","Bolivia (Plurinational State of)",2010,"BTSX",18.52945,70.34061,"Americas"
"BOL","Bolivia (Plurinational State of)",2015,"BTSX",18.50566,71.5186,"Americas"
"BOL","Bolivia (Plurinational State of)",2019,"BTSX",18.56203,72.13765,"Americas"
"BRA","Brazil",2000,"MLE",17.95599,67.898,"Americas"
"BRA","Brazil",2010,"MLE",19.02023,70.57493,"Americas"
"BRA","Brazil",2015,"MLE",19.65012,71.66687,"Americas"
"BRA","Brazil",2019,"MLE",20.08655,72.4481,"Americas"
"BRA","Brazil",2000,"FMLE",21.30753,75.18223,"Americas"
"BRA","Brazil",2010,"FMLE",22.42419,77.6834,"Americas"
"BRA","Brazil",2015,"FMLE",22.99521,78.64028,"Americas"
"BRA","Brazil",2019,"FMLE",23.50729,79.38875,"Americas"
"BRA","Brazil",2000,"BTSX",19.69747,71.46612,"Americas"
"BRA","Brazil",2010,"BTSX",20.81183,74.09258,"Americas"
"BRA","Brazil",2015,"BTSX",21.42377,75.13264,"Americas"
"BRA","Brazil",2019,"BTSX",21.90207,75.90331,"Americas"
"BRB","Barbados",2000,"MLE",19.68561,72.12577,"Americas"
"BRB","Barbados",2010,"MLE",20.80834,74.46426,"Americas"
"BRB","Barbados",2015,"MLE",21.01266,75.01022,"Americas"
"BRB","Barbados",2019,"MLE",19.93827,74.32362,"Americas"
"BRB","Barbados",2000,"FMLE",21.5232,76.71597,"Americas"
"BRB","Barbados",2010,"FMLE",21.69327,77.20181,"Americas"
"BRB","Barbados",2015,"FMLE",21.71943,77.35789,"Americas"
"BRB","Barbados",2019,"FMLE",21.79063,77.66379,"Americas"
"BRB","Barbados",2000,"BTSX",20.71631,74.49873,"Americas"
"BRB","Barbados",2010,"BTSX",21.29921,75.88476,"Americas"
"BRB","Barbados",2015,"BTSX",21.39643,76.21642,"Americas"
"BRB","Barbados",2019,"BTSX",20.92302,76.0344,"Americas"
"BRN","Brunei Darussalam",2000,"MLE",16.21333,70.8608,"Western Pacific"
"BRN","Brunei Darussalam",2010,"MLE",18.40824,73.34856,"Western Pacific"
"BRN","Brunei Darussalam",2015,"MLE",18.67176,73.37622,"Western Pacific"
"BRN","Brunei Darussalam",2019,"MLE",18.96906,73.38683,"Western Pacific"
"BRN","Brunei Darussalam",2000,"FMLE",17.41208,73.68493,"Western Pacific"
"BRN","Brunei Darussalam",2010,"FMLE",19.55717,75.84433,"Western Pacific"
"BRN","Brunei Darussalam",2015,"FMLE",19.35874,75.50254,"Western Pacific"
"BRN","Brunei Darussalam",2019,"FMLE",19.38045,75.35551,"Western Pacific"
"BRN","Brunei Darussalam",2000,"BTSX",16.78324,72.20396,"Western Pacific"
"BRN","Brunei Darussalam",2010,"BTSX",19.00035,74.567,"Western Pacific"
"BRN","Brunei Darussalam",2015,"BTSX",19.02835,74.40452,"Western Pacific"
"BRN","Brunei Darussalam",2019,"BTSX",19.17096,74.32442,"Western Pacific"
"BTN","Bhutan",2000,"MLE",17.71111,64.88332,"South-East Asia"
"BTN","Bhutan",2010,"MLE",18.42244,69.86668,"South-East Asia"
"BTN","Bhutan",2015,"MLE",18.71894,71.05044,"South-East Asia"
"BTN","Bhutan",2019,"MLE",18.88855,72.03266,"South-East Asia"
"BTN","Bhutan",2000,"FMLE",18.2259,66.59171,"South-East Asia"
"BTN","Bhutan",2010,"FMLE",19.48399,72.34988,"South-East Asia"
"BTN","Bhutan",2015,"FMLE",19.71625,73.45096,"South-East Asia"
"BTN","Bhutan",2019,"FMLE",19.94531,74.38692,"South-East Asia"
"BTN","Bhutan",2000,"BTSX",17.94748,65.69579,"South-East Asia"
"BTN","Bhutan",2010,"BTSX",18.8915,71.00534,"South-East Asia"
"BTN","Bhutan",2015,"BTSX",19.16051,72.15268,"South-East Asia"
"BTN","Bhutan",2019,"BTSX",19.36012,73.1091,"South-East Asia"
"BWA","Botswana",2000,"MLE",10.39295,43.89779,"Africa"
"BWA","Botswana",2010,"MLE",13.05543,55.14339,"Africa"
"BWA","Botswana",2015,"MLE",13.88858,57.8261,"Africa"
"BWA","Botswana",2019,"MLE",14.16167,58.94968,"Africa"
"BWA","Botswana",2000,"FMLE",15.8183,47.76789,"Africa"
"BWA","Botswana",2010,"FMLE",17.31952,61.35551,"Africa"
"BWA","Botswana",2015,"FMLE",17.61233,63.9269,"Africa"
"BWA","Botswana",2019,"FMLE",17.97302,65.45545,"Africa"
"BWA","Botswana",2000,"BTSX",12.92455,45.58516,"Africa"
"BWA","Botswana",2010,"BTSX",15.26207,58.1373,"Africa"
"BWA","Botswana",2015,"BTSX",15.88702,60.92577,"Africa"
"BWA","Botswana",2019,"BTSX",16.24883,62.24785,"Africa"
"CAF","Central African Republic",2000,"MLE",10.14748,43.23857,"Africa"
