"CountryCode","Year","Sex","LifeExpectancyAt60"
"COG",2010,"FMLE",16.05134
"COG",2015,"FMLE",16.60241
"COG",2019,"FMLE",17.06684
"COG",2000,"BTSX",13.86793
"COG",2010,"BTSX",15.66505
"COG",2015,"BTSX",16.11145
"COG",2019,"BTSX",16.4464
"COL",2000,"MLE",20.2905
"COL",2010,"MLE",21.63741
"COL",2015,"MLE",21.99516
"COL",2019,"MLE",22.48425
"COL",2000,"FMLE",23.06326
"COL",2010,"FMLE",24.27291
"COL",2015,"FMLE",24.67866
"COL",2019,"FMLE",25.26866
"COL",2000,"BTSX",21.74144
"COL",2010,"BTSX",23.03183
"COL",2015,"BTSX",23.41622
"COL",2019,"BTSX",23.95938
"COM",2000,"MLE",15.56029
"COM",2010,"MLE",16.922
"COM",2015,"MLE",17.22152
"COM",2019,"MLE",17.44422
"COM",2000,"FMLE",17.03182
"COM",2010,"FMLE",18.20874
"COM",2015,"FMLE",18.54134
"COM",2019,"FMLE",18.75475
"COM",2000,"BTSX",16.34116
"COM",2010,"BTSX",17.60318
"COM",2015,"BTSX",17.91739
"COM",2019,"BTSX",18.13271
"CPV",2000,"MLE",18.16738
"CPV",2010,"MLE",20.84867
"CPV",2015,"MLE",21.02976
"CPV",2019,"MLE",16.81792
"CPV",2000,"FMLE",22.2527
"CPV",2010,"FMLE",22.88421
"CPV",2015,"FMLE",22.12189
"CPV",2019,"FMLE",21.77146
"CPV",2000,"BTSX",20.36118
"CPV",2010,"BTSX",22.07198
"CPV",2015,"BTSX",21.69371
"CPV",2019,"BTSX",19.65517
"CRI",2000,"MLE",20.78094
"CRI",2010,"MLE",22.49287
"CRI",2015,"MLE",23.31598
"CRI",2019,"MLE",23.58388
"CRI",2000,"FMLE",23.96025
"CRI",2010,"FMLE",25.3951
"CRI",2015,"FMLE",26.3589
"CRI",2019,"FMLE",26.40328
"CRI",2000,"BTSX",22.38462
"CRI",2010,"BTSX",23.96989
"CRI",2015,"BTSX",24.8664
"CRI",2019,"BTSX",25.02802
"CUB",2000,"MLE",20.22998
"CUB",2010,"MLE",20.13843
"CUB",2015,"MLE",20.34403
"CUB",2019,"MLE",19.98318
"CUB",2000,"FMLE",22.98259
"CUB",2010,"FMLE",22.90981
"CUB",2015,"FMLE",23.23844
"CUB",2019,"FMLE",23.17714
"CUB",2000,"BTSX",21.60023
"CUB",2010,"BTSX",21.53136
"CUB",2015,"BTSX",21.8081
"CUB",2019,"BTSX",21.59241
"CYP",2000,"MLE",20.36957
"CYP",2010,"MLE",22.16106
"CYP",2015,"MLE",22.60652
"CYP",2019,"MLE",23.30809
"CYP",2000,"FMLE",23.24316
"CYP",2010,"FMLE",24.82716
"CYP",2015,"FMLE",25.63816
"CYP",2019,"FMLE",26.42715
"CYP",2000,"BTSX",21.85754
"CYP",2010,"BTSX",23.54269
"CYP",2015,"BTSX",24.1728
"CYP",2019,"BTSX",24.91942
"CZE",2000,"MLE",17.02598
"CZE",2010,"MLE",18.77045
"CZE",2015,"MLE",19.33787
"CZE",2019,"MLE",19.92919
"CZE",2000,"FMLE",21.26231
"CZE",2010,"FMLE",22.95369
"CZE",2015,"FMLE",23.40351
"CZE",2019,"FMLE",24.00078
"CZE",2000,"BTSX",19.33768
"CZE",2010,"BTSX",21.01207
"CZE",2015,"BTSX",21.49508
"CZE",2019,"BTSX",22.06973
"DEU",2000,"MLE",19.47009
"DEU",2010,"MLE",21.39982
"DEU",2015,"MLE",21.46168
"DEU",2019,"MLE",21.86726
"DEU",2000,"FMLE",23.56962
"DEU",2010,"FMLE",24.76417
"DEU",2015,"FMLE",24.83876
"DEU",2019,"FMLE",26.87273
"DEU",2000,"BTSX",21.7505
"DEU",2010,"BTSX",23.15471
"DEU",2015,"BTSX",23.21284
"DEU",2019,"BTSX",24.41208
"DJI",2000,"MLE",14.91666
"DJI",2010,"MLE",15.80988
"DJI",2015,"MLE",16.30686
"DJI",2019,"MLE",16.63471
"DJI",2000,"FMLE",17.68142
"DJI",2010,"FMLE",18.42346
"DJI",2015,"FMLE",18.73272
"DJI",2019,"FMLE",18.96071
"DJI",2000,"BTSX",16.28793
"DJI",2010,"BTSX",17.0644
"DJI",2015,"BTSX",17.47813
"DJI",2019,"BTSX",17.75723
"DNK",2000,"MLE",18.97174
"DNK",2010,"MLE",20.76275
"DNK",2015,"MLE",21.78166
"DNK",2019,"MLE",22.25902
"DNK",2000,"FMLE",22.083
"DNK",2010,"FMLE",23.50118
"DNK",2015,"FMLE",24.45259
"DNK",2019,"FMLE",24.85155
"DNK",2000,"BTSX",20.63325
"DNK",2010,"BTSX",22.19455
"DNK",2015,"BTSX",23.16479
"DNK",2019,"BTSX",23.59464
"DOM",2000,"MLE",20.73676
"DOM",2010,"MLE",19.97991
