"IndicatorCode","SpatialDimType","SpatialDim","TimeDimType","TimeDim","Dim1Type","Dim1","NumericValue"
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2010,"SEX","BTSX",73.38513
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2015,"SEX","BTSX",74.04993
"WHOSIS_000001","COUNTRY","BLZ","YEAR",2019,"SEX","BTSX",74.40823
"WHOSIS_000001","COUNTRY","BOL","YEAR",2000,"SEX","MLE",64.81239
"WHOSIS_000001","COUNTRY","BOL","YEAR",2010,"SEX","MLE",69.43961
"WHOSIS_000001","COUNTRY","BOL","YEAR",2015,"SEX","MLE",70.59274
"WHOSIS_000001","COUNTRY","BOL","YEAR",2019,"SEX","MLE",71.14804
"WHOSIS_000001","COUNTRY","BOL","YEAR",2000,"SEX","FMLE",67.24576
"WHOSIS_000001","COUNTRY","BOL","YEAR",2010,"SEX","FMLE",71.24718
"WHOSIS_000001","COUNTRY","BOL","YEAR",2015,"SEX","FMLE",72.45124
"WHOSIS_000001","COUNTRY","BOL","YEAR",2019,"SEX","FMLE",73.13363
"WHOSIS_000001","COUNTRY","BOL","YEAR",2000,"SEX","BTSX",66.01998
"WHOSIS_000001","COUNTRY","BOL","YEAR",2010,"SEX","BTSX",70.34061
"WHOSIS_000001","COUNTRY","BOL","YEAR",2015,"SEX","BTSX",71.5186
"WHOSIS_000001","COUNTRY","BOL","YEAR",2019,"SEX","BTSX",72.13765
"WHOSIS_000001","COUNTRY","BRA","YEAR",2000,"SEX","MLE",67.898
"WHOSIS_000001","COUNTRY","BRA","YEAR",2010,"SEX","MLE",70.57493
"WHOSIS_000001","COUNTRY","BRA","YEAR",2015,"SEX","MLE",71.66687
"WHOSIS_000001","COUNTRY","BRA","YEAR",2019,"SEX","MLE",72.4481
"WHOSIS_000001","COUNTRY","BRA","YEAR",2000,"SEX","FMLE",75.18223
"WHOSIS_000001","COUNTRY","BRA","YEAR",2010,"SEX","FMLE",77.6834
"WHOSIS_000001","COUNTRY","BRA","YEAR",2015,"SEX","FMLE",78.64028
"WHOSIS_000001","COUNTRY","BRA","YEAR",2019,"SEX","FMLE",79.38875
"WHOSIS_000001","COUNTRY","BRA","YEAR",2000,"SEX","BTSX",71.46612
"WHOSIS_000001","COUNTRY","BRA","YEAR",2010,"SEX","BTSX",74.09258
"WHOSIS_000001","COUNTRY","BRA","YEAR",2015,"SEX","BTSX",75.13264
"WHOSIS_000001","COUNTRY","BRA","YEAR",2019,"SEX","BTSX",75.90331
"WHOSIS_000001","COUNTRY","BRB","YEAR",2000,"SEX","MLE",72.12577
"WHOSIS_000001","COUNTRY","BRB","YEAR",2010,"SEX","MLE",74.46426
"WHOSIS_000001","COUNTRY","BRB","YEAR",2015,"SEX","MLE",75.01022
"WHOSIS_000001","COUNTRY","BRB","YEAR",2019,"SEX","MLE",74.32362
"WHOSIS_000001","COUNTRY","BRB","YEAR",2000,"SEX","FMLE",76.71597
"WHOSIS_000001","COUNTRY","BRB","YEAR",2010,"SEX","FMLE",77.20181
"WHOSIS_000001","COUNTRY","BRB","YEAR",2015,"SEX","FMLE",77.35789
"WHOSIS_000001","COUNTRY","BRB","YEAR",2019,"SEX","FMLE",77.66379
"WHOSIS_000001","COUNTRY","BRB","YEAR",2000,"SEX","BTSX",74.49873
"WHOSIS_000001","COUNTRY","BRB","YEAR",2010,"SEX","BTSX",75.88476
"WHOSIS_000001","COUNTRY","BRB","YEAR",2015,"SEX","BTSX",76.21642
"WHOSIS_000001","COUNTRY","BRB","YEAR",2019,"SEX","BTSX",76.0344
"WHOSIS_000001","COUNTRY","BRN","YEAR",2000,"SEX","MLE",70.8608
"WHOSIS_000001","COUNTRY","BRN","YEAR",2010,"SEX","MLE",73.34856
"WHOSIS_000001","COUNTRY","BRN","YEAR",2015,"SEX","MLE",73.37622
"WHOSIS_000001","COUNTRY","BRN","YEAR",2019,"SEX","MLE",73.38683
"WHOSIS_000001","COUNTRY","BRN","YEAR",2000,"SEX","FMLE",73.68493
"WHOSIS_000001","COUNTRY","BRN","YEAR",2010,"SEX","FMLE",75.84433
"WHOSIS_000001","COUNTRY","BRN","YEAR",2015,"SEX","FMLE",75.50254
"WHOSIS_000001","COUNTRY","BRN","YEAR",2019,"SEX","FMLE",75.35551
"WHOSIS_000001","COUNTRY","BRN","YEAR",2000,"SEX","BTSX",72.20396
"WHOSIS_000001","COUNTRY","BRN","YEAR",2010,"SEX","BTSX",74.567
"WHOSIS_000001","COUNTRY","BRN","YEAR",2015,"SEX","BTSX",74.40452
"WHOSIS_000001","COUNTRY","BRN","YEAR",2019,"SEX","BTSX",74.32442
"WHOSIS_000001","COUNTRY","BTN","YEAR",2000,"SEX","MLE",64.88332
"WHOSIS_000001","COUNTRY","BTN","YEAR",2010,"SEX","MLE",69.86668
"WHOSIS_000001","COUNTRY","BTN","YEAR",2015,"SEX","MLE",71.05044
"WHOSIS_000001","COUNTRY","BTN","YEAR",2019,"SEX","MLE",72.03266
"WHOSIS_000001","COUNTRY","BTN","YEAR",2000,"SEX","FMLE",66.59171
"WHOSIS_000001","COUNTRY","BTN","YEAR",2010,"SEX","FMLE",72.34988
